"Subject","Subject code","Catalog Number","Long Course Title","Description","Units - Units - Units","Units - Repeat for Credit","Course Attributes","Instructional Components"
"ECON - Economics","ECON","329","Electricity Markets","Economic analysis of the deregulated electric power industry including the pricing of power, energy and capacity, power supply and demand, market structure, market architecture, and the design and testing of market rules.

Prerequisite(s): Economics 201.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","337","Development Economics","An introduction to developing economies: the meaning, significance and purpose of economic development, major theories of economic development, economic problems of developing countries.	

Prerequisite(s): Economics 201 and 203 or consent of the Department.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","339","Canadian Economic History","The growth and development of the Canadian economy in relation to the endowment of natural resources, changing market conditions and technology, and Canadian public policy.	

Prerequisite(s): Economics 201 and 203 or consent of the Department.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","341","Money and Banking","Operation of financial markets and institutions: the principles of money creation, interest rate determination, and central banking.	

Prerequisite(s): Economics 201 and 203.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","345","Economic Analysis Of Law I","An introduction to the relationship between law and economics. Economic theory will be used to analyse property and tort law.

Prerequisite(s):  Economics 201 or consent of the Department.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","349","The Economics of Social Issues","Contribution that economic analysis can make to the understanding of selected current social issues such as poverty, aging, crime, drug abuse and discrimination.

Prerequisite(s): Economics 201.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","353","Chinese Economy","Survey of the economic institutions and processes shaping the Chinese economy, including but not limited to fiscal and monetary policy, financial institutions and financial sector reforms, the restructuring of state-owned enterprises, and the provision of social welfare.

Prerequisite(s): Economics 201 and 203.

Antirequisite(s): Credit for Economics 353 and Economics 399.02 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","355","Canadian Public Finance","Examination of the institutions behind and economic rationale for Canadian government policy relating to public expenditures and taxation. Topics include the history and present structure of government spending and taxation, tax expenditures, the budgetary process, inter-jurisdictional issues, and program design.	

Prerequisite(s): Economics 201 and 203.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","357","Intermediate Economic Theory - Microeconomics II","Intertemporal choice and choice under uncertainty. General equilibrium and the welfare theorems. Public and social choice theory. Market failures: imperfect competition, externalities, public goods, and informational asymmetries.

Prerequisite(s): Economics 301.

Antirequisite(s): Credit for Economics 357 and either 309 or 529 will not be allowed.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ECON - Economics","ECON","359","Intermediate Economic Theory-Macroecononics II","Macroeconomic analysis based on microeconomic foundations. Analysis of short-term economic fluctuations under flexible and sticky prices, and the role of government policies. Theories of long-term economic growth.

Prerequisite(s): Economics 301 and 303.

Antirequisite(s): Credit for Economics 359 and either 313 or 531 will not be allowed.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1T ((3-1T))","Lecture, Tutorial"
"ECON - Economics","ECON","371","Economic Analysis of Transportation","Modal choice by passengers, location choice by firms, capital investment choice. Cost, demand, and market structure related to the determination of transportation rates. Cost/benefit analysis of transportation projects. Analysis will be related to contemporary aspects of ocean shipping, air, rail, trucking, pipelines and urban transportation.

Prerequisite(s): Economics 201.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","373","Game Theory and Strategic Thinking for the Social Sciences","Principles of game theory utilizing a non-mathematical and intuitive approach. Strategic reasoning and the use of game theory to explain social interaction. Game theory analysis is illustrated using applications and examples from economics and other social sciences.

Prerequisite(s): Economics 201.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","377","Economics and the Environment","Analysis of environmental problems from an economic perspective. Efficient allocation of resources and its implications for air and water quality, waste management, biodiversity and endangered species will be addressed from local as well as global perspectives.

Prerequisite(s): Economics 201.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","379","The Economics of Health","Theories and evidence regarding demand for health and health care, consumer and physician behaviour, asymmetric information in health care markets, and economic evaluation of health care programs.

Prerequisite(s): Economics 201.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","387","Introduction to Mathematical Economics I","Mathematics for economics with an emphasis on economic modeling and equilibrium analysis. Multivariate calculus including comparative statics, unconstrained and constrained optimization, and their applications to resource allocation problems.

Prerequisite(s): Economics 201, 203 and 3 units from Mathematics 249, 265 or 275.

Corequisite(s): Prerequisites or Corequisites: Economics 301 and 303.

Antirequisite(s): Credit for Economics 387 and either 304 or 521 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1 ((3-1))","Laboratory, Lecture"
"ECON - Economics","ECON","389","Introduction to Mathematical Economics II","Application of linear algebra to economic analysis and optimization. Integration and differential equations and their application in economic analysis.

Prerequisite(s): Economics 387 and Mathematics 211.

Antirequisite(s): Credit for Economics 389 and 304 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1 ((3-1))","Laboratory, Lecture"
"ECON - Economics","ECON","395","Introduction to Econometrics","Two-variable and multi-variable linear regression models are introduced, developed and evaluated. Topics include basic data manipulation, econometric estimation of economic relationships, model specification and evaluation, hypothesis testing, and binary variables.

Prerequisite(s): Economics 201, 203, Statistics 213 and 217.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1 ((3-1)), RCS - RLT (Related)","Laboratory, Lecture"
"ECON - Economics","ECON","399","Introductory Topics in Economics","Examination of a particular topic. Examples include the economics of sports, the economics of the wine industry, and the economics of popular music.

Prerequisite(s): Economics 201 and 203.

MAY BE REPEATED FOR CREDIT","3","Yes","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","401","Public Sector Economics: Expenditures","Theory of government spending. May include the nature of public goods and externalities, the pricing of public services, causes of growth of public expenditures, expenditure incidence, social insurance, social decision procedures, and political and bureaucratic influences.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","403","Public Sector Economics: Taxation","Theory of taxation. May include the rationale for and the incentive effects of taxation, efficiency and equity aspects of taxation, partial and general equilibrium tax incidence, open economy effects, choice of governing instruments, and tax reform.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","405","Political Economy of Public Policy","Introduction to the economic foundations of political economy and economic models of public sector policy formation. May include the role of institutions in policy design, theories of bureaucracy, political business cycles, the formation and behaviour of interest groups, and the strategic use of government debt.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","411","Computational and Data Methods in Economics","Economic application and utilization of computational methods, programming, and data management. Introduction and use of programming in economic analysis, examples include VBA, R, Python, Mathematica, and MATLAB.

Prerequisite(s): 3 units from Economics 311 or Management Studies 217 and 9 units in Economics 357, 359 and 395.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","423","International Macroeconomics","Foreign exchange markets, and international macroeconomic connections with trade in assets as well as goods and services. May include: alternative exchange rate regimes; monetary and fiscal policy responses to problems of unemployment and inflation; balance of payments adjustment mechanisms; international debt; and Euro-dollar markets.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","425","International Trade","The general equilibrium treatment of the gains from trade, comparative advantage and trade patterns provides a basis for examining topics such as: trade policy under imperfect competition, trade policy and the environment, trade policy and economic growth, and preferential trading arrangements.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","427","Energy Economics and Policy","Microeconomic analysis of the allocation of energy resources with a focus on policy issues including the environment, OPEC, national security, price and entry regulation, market design, and the potential for new energy sources.

Prerequisite(s): Economics 357, 359 and 395.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","429","Advanced Electricity Markets","Market design of electricity markets; transmission regulation, investment and pricing; ancillary service demand, procurement, and regulation; retail competition; and distribution and distributed generation.

Prerequisite(s): Economics 329 and 471.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","431","Labour Economics","Economic analysis of migration, labour force participation, education, fertility, human resources policy, and the measurement and treatment of unemployment.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","443","The Economics of Financial Markets","Basic functions and structure of financial markets. Economic analysis of trading strategies in financial markets and determinants of equilibrium prices. Institutional features, and analysis, of bond, stock, options, forward and futures markets.

Prerequisite(s): 3 units from Economics 311 or Management Studies 217 and 9 units in Economics 341, 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","453","Cost-Benefit Analysis","Theoretical basis for social cost-benefit analysis, appraisal techniques for investment projects and public policies, and selected applications.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","457","The Economics of Business Fundamentals","The application of microeconomic theory to business practice with a focus on accounting and finance practice. Critical assessment of financial statements, financial markets, corporate finance, and project evaluation.

Prerequisite(s):  3 units from Economics 311 or Management Studies 217 and 6 units in Economics 357 and 359.

Antirequisite(s): Credit for Economics 457 and either 397 or 499.57 (Business Applications) will not be allowed.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","471","Industrial Organization","Behaviour of firms in imperfectly competitive markets. May include the theory of strategic competition; dynamic price competition and tacit collusion; product differentiation, product selection, and preemption; entry deterrence and capacity competition; information, reputation, and predation; the economics of research and development; international trade and imperfectly competitive markets.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","475","Economics of Natural Resources","Application of economic theory to the problems of natural resource pricing, allocation and conservation. Rent theory, location theory, intertemporal maximization. Natural resource policy formulation. Contemporary Canadian resource problems.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","477","Regulatory Economics","An introduction to economic regulation, its rationale, form and effects with a focus on the economic theory of regulation and on the practice, structure, and evolution of Canadian regulatory institutions.

Prerequisite(s): Economics 471.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","479","Experimental Economics","Introduces students to the use of and insights gained from experiments in economic research. As part of the course, students will be participating in a variety of in-class experiments.

Prerequisite(s): Economics 357, 359 and 395.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1 ((3-1)), RCS - RLT (Related)","Laboratory, Lecture"
"ECON - Economics","ECON","481","Behavioural Economics","Major factors underlying economic behaviour including: various views of the role of rationality in economic analysis and in the economic decision making of individuals and institutions; determinants of individual preferences and decision making procedures; the experimental analysis of economic behaviour; inter-relations between the operation of the economic system and feelings of subjective well-being.

Prerequisite(s): Economics 357 and 359.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","483","History of Economic Thought","Traces the evolution of economic ideas from the earliest times up to and including the contributions of the classical economists and Marx. Emphasis will be on understanding these contributions both in terms of their historical context and their relationship to present-day theories and controversies.

Prerequisite(s): Economics 357 and 359.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","485","Economics of the Welfare State","The focus is on ideas and economic analysis relevant to understanding the economics of the welfare state, where issues of income redistribution and social insurance are central.

Prerequisite(s): Economics 357, 359 and 395.

Antirequisite(s): Credit for Economics 485 and 599.10 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","487","Environmental Economics","Applies microeconomic theory to the examination of market failures as the source of environmental problems, and to designing and evaluating environmental policies to correct them.

Prerequisite(s): Economics 357, 359 and 395.

Antirequisite(s): Credit for Economics 487 and 499.77 will not be allowed.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","489","Economics of the Movie Business","Applies microeconomic theory to the motion-picture industry, focusing on how information and extreme uncertainty shape the structure of economic transactions. The historical and institutional illustrations are set in the context of Hollywood.

Prerequisite(s): Economics 357, 359 and 395.

Antirequisite(s): Credit for Economics 489 and 499.63 will not be allowed.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","491","Managerial and Decision Economics","Systematic economic analysis in managerial decision-making. Application of practical ideas to business decisions, integrating global business issues and practices with conceptually rigorous economic analysis.

Prerequisite(s): Economics 357, 359 and 395.

Antirequisite(s): Credit for Economics 491 and 499.80 will not be allowed.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","493","Empirical Energy Economics","Students will study and learn how to apply methods of data analysis that are particularly useful in the context of energy economics.

Prerequisite(s): Economics 427.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Focused, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - FCS (Focused)","Lecture"
"ECON - Economics","ECON","495","Intermediate Econometrics","Theory and application of the multivariable linear regression model in time-series, panel data and limited dependent variable models. Least squares and maximum likelihood estimation. Identification issues, fixed and random effects, and instrumental variables.

Prerequisite(s): Economics 357, 359 and 395.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1), RCS Focused, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1 ((3-1)), RCS - FCS (Focused)","Laboratory, Lecture"
"ECON - Economics","ECON","497","Advanced Econometrics","Advanced application of statistics and mathematical modeling to make inferences and estimate the magnitude of causal effects.

Prerequisite(s): Economics 495 and Mathematics 211.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-1T), RCS Focused, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-1T ((3-1T)), RCS - FCS (Focused)","Lecture, Tutorial"
"ECON - Economics","ECON","499","Intermediate Topics in Economics","Examination of a particular topic. Examples include advanced game theory, ethics and economics, water resources, and selected topics from other fields of economics.

Prerequisite(s): Economics 357, 359 and 395.

MAY BE REPEATED FOR CREDIT","3","Yes","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","527","World Oil Economics","Analysis of the world oil industry in the post-World War II period.

Prerequisite(s): Economics 328, 357 and 359.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","538","Trade, Growth and the Environment","Advanced examination of the linkages between international trade, the environment, and economic growth.

Prerequisite(s): Economics 395 and 3 units from Economics 425, 475 or 487.

Antirequisite(s): Credit for Economics 538 and 537 will not be allowed.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","541","Monetary Theory","A survey of recent work in monetary theory with primary emphasis on financial issues.

Prerequisite(s): Economics 341, 357 and 359.

Corequisite(s): Prerequisite or Corequisite: Economics 395.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","557","Advanced Microeconomic Theory","Advanced study of optimal decision rules, equilibrium, and efficiency. Partial and general equilibrium, fundamental welfare theorems, social choice theory, and market failures including market power, public goods, externalities, and asymmetries of information.

Prerequisite(s): Economics 357, 359 and 389.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","559","Advanced Macroeconomics","Methodological principles and models that underlie modern analysis of macroeconomics. Advanced study and modeling of the determination of aggregate economic activity and its fluctuations, stabilization policy (fiscal and monetary), the determinants of economic growth, the effects of policy on economic growth, and unemployment and the labour market.

Prerequisite(s): Economics 357, 359, 389 and 395.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","571","Competition Policy","The law and economics of competition policy. An examination of the economics, jurisprudence and history of competition policy towards mergers, price fixing, vertical restraints, and monopolization, primarily in Canada and the United States.

Prerequisite(s): Economics 471.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0))","Lecture"
"ECON - Economics","ECON","588","Digital Economics Capstone","Digital economics research project. Students will use economic reasoning and apply econometric approaches to data to conceptualize and develop a data-based tool that provides value to an organization.

Prerequisite(s): Economics 411 and 495.

Antirequisite(s): Credit for Economics 588 and 599.88 will not be allowed.","3","No","ET Related, Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Focused, WIL Field Placement, ET - RLT (Related), FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - FCS (Focused), WIL - FPL (Field Placement)","Lecture"
"ECON - Economics","ECON","599","Advanced Topics in Economics","Examination of a particular topic. Examples include trade policy, monetary economics, time-series econometrics, and analysis of current issues in other fields of economics.

Prerequisite(s): Economics 357, 359, 395 and consent of the Department.

MAY BE REPEATED FOR CREDIT","3","Yes","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -A, GFC Hours (3-0), RCS Related, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - A (Fee Rate Group(Int'l) - A), GFCH - 3-0 ((3-0)), RCS - RLT (Related)","Lecture"
"ECON - Economics","ECON","605","Computational Optimization & Economic Applications","Explores the theory and numerical implementation of mathematical programming, covering basic classes of optimization problems -- linear programming, non-linear programming and complementarity problems -- as ways to operationalize models of individual choice and decentralized equilibrium behaviour from economics. Applications will vary.","3","No","Fee Rate Group(Domestic) - A, Fee Rate Group(International) -B, GFC Hours (3-0), RCS Focused, FRGD - A (Fee Rate Group(Domestic) - A), FRGI - B (Fee Rate Group(Int'l) - B), GFCH - 3-0 ((3-0)), RCS - FCS (Focused)","Lecture"
